"Subj"	"Activity"	"Measurement"	"Mean"
1	"WALKING"	"tBodyAcc-mean()-X"	0.277330758736842
2	"WALKING"	"tBodyAcc-mean()-X"	0.276426586440678
3	"WALKING"	"tBodyAcc-mean()-X"	0.275567462068966
4	"WALKING"	"tBodyAcc-mean()-X"	0.278582015166667
5	"WALKING"	"tBodyAcc-mean()-X"	0.27784234625
6	"WALKING"	"tBodyAcc-mean()-X"	0.283658868070175
7	"WALKING"	"tBodyAcc-mean()-X"	0.275592961754386
8	"WALKING"	"tBodyAcc-mean()-X"	0.27468631
9	"WALKING"	"tBodyAcc-mean()-X"	0.278502842115385
10	"WALKING"	"tBodyAcc-mean()-X"	0.278574076603774
11	"WALKING"	"tBodyAcc-mean()-X"	0.271821892881356
12	"WALKING"	"tBodyAcc-mean()-X"	0.2771286656
13	"WALKING"	"tBodyAcc-mean()-X"	0.275883130350877
14	"WALKING"	"tBodyAcc-mean()-X"	0.271959598644068
15	"WALKING"	"tBodyAcc-mean()-X"	0.273899207962963
16	"WALKING"	"tBodyAcc-mean()-X"	0.276023564509804
17	"WALKING"	"tBodyAcc-mean()-X"	0.272341855245902
18	"WALKING"	"tBodyAcc-mean()-X"	0.273887758571429
19	"WALKING"	"tBodyAcc-mean()-X"	0.273931172307692
20	"WALKING"	"tBodyAcc-mean()-X"	0.272589336470588
21	"WALKING"	"tBodyAcc-mean()-X"	0.279183526730769
22	"WALKING"	"tBodyAcc-mean()-X"	0.27886459
23	"WALKING"	"tBodyAcc-mean()-X"	0.273211884237288
24	"WALKING"	"tBodyAcc-mean()-X"	0.276980816034483
25	"WALKING"	"tBodyAcc-mean()-X"	0.278992759054054
26	"WALKING"	"tBodyAcc-mean()-X"	0.279264443728814
27	"WALKING"	"tBodyAcc-mean()-X"	0.276849485438596
28	"WALKING"	"tBodyAcc-mean()-X"	0.281228223888889
29	"WALKING"	"tBodyAcc-mean()-X"	0.271999916792453
30	"WALKING"	"tBodyAcc-mean()-X"	0.276406758
1	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.255461689622641
2	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.247164790395833
3	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.260819873067797
4	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.270876696730769
5	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.268459469914894
6	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.268229355098039
7	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.248706923078431
8	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.258880152048781
9	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.262436475714286
10	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.267121853404255
11	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.263775859277778
12	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.272970338653846
13	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.258203939581818
14	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.26242106612963
15	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.270187595833333
16	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.255986102627451
17	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.252604768583333
18	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.265401201896552
19	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.242118808925
20	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.252098317156863
21	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.265194544680851
22	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.248391534566667
23	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.249995171031373
24	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.269881106779661
25	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.277995411384615
26	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.272691394545455
27	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.265770253921569
28	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.262005841764706
29	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.265423066877551
30	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.271415642261538
1	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.289188320408163
2	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.27761534806383
3	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.292423484693878
4	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.279965329555556
5	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.29354392712766
6	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.277045258145833
7	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.28030708
8	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.283484089210526
9	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.295923445
10	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.290401594315789
11	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.291605631956522
12	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.281521097391304
13	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.294907553404255
14	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.293422115555556
15	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.280198851190476
16	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.295586802191489
17	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.29391828326087
18	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.288439468909091
19	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.262688053871795
20	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.296144421355556
21	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.3014610196
22	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.284458963861111
23	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.289897411148148
24	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.288631208909091
25	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.291329666206897
26	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.2792845828
27	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.2975441875
28	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.293642076521739
29	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.293140441083333
30	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-X"	0.283190646967742
1	"SITTING"	"tBodyAcc-mean()-X"	0.261237565425532
2	"SITTING"	"tBodyAcc-mean()-X"	0.27708735173913
3	"SITTING"	"tBodyAcc-mean()-X"	0.257197599134615
4	"SITTING"	"tBodyAcc-mean()-X"	0.27153827992
5	"SITTING"	"tBodyAcc-mean()-X"	0.273694139545455
6	"SITTING"	"tBodyAcc-mean()-X"	0.276778487454545
7	"SITTING"	"tBodyAcc-mean()-X"	0.284674637291667
8	"SITTING"	"tBodyAcc-mean()-X"	0.267491472934783
9	"SITTING"	"tBodyAcc-mean()-X"	0.24832674354
10	"SITTING"	"tBodyAcc-mean()-X"	0.270612056481481
11	"SITTING"	"tBodyAcc-mean()-X"	0.276590197358491
12	"SITTING"	"tBodyAcc-mean()-X"	0.275007224901961
13	"SITTING"	"tBodyAcc-mean()-X"	0.274328499591837
14	"SITTING"	"tBodyAcc-mean()-X"	0.279990577037037
15	"SITTING"	"tBodyAcc-mean()-X"	0.27290337979661
16	"SITTING"	"tBodyAcc-mean()-X"	0.280768574492754
17	"SITTING"	"tBodyAcc-mean()-X"	0.2773570196875
18	"SITTING"	"tBodyAcc-mean()-X"	0.27727001877193
19	"SITTING"	"tBodyAcc-mean()-X"	0.273830316164384
20	"SITTING"	"tBodyAcc-mean()-X"	0.278045439090909
21	"SITTING"	"tBodyAcc-mean()-X"	0.277539616823529
22	"SITTING"	"tBodyAcc-mean()-X"	0.273583822709677
23	"SITTING"	"tBodyAcc-mean()-X"	0.273351251617647
24	"SITTING"	"tBodyAcc-mean()-X"	0.273475690147059
25	"SITTING"	"tBodyAcc-mean()-X"	0.278541482461538
26	"SITTING"	"tBodyAcc-mean()-X"	0.258243530166667
27	"SITTING"	"tBodyAcc-mean()-X"	0.273941302571429
28	"SITTING"	"tBodyAcc-mean()-X"	0.276977629444444
29	"SITTING"	"tBodyAcc-mean()-X"	0.2771799775
30	"SITTING"	"tBodyAcc-mean()-X"	0.268336081379032
1	"STANDING"	"tBodyAcc-mean()-X"	0.278917629056604
2	"STANDING"	"tBodyAcc-mean()-X"	0.277911472222222
3	"STANDING"	"tBodyAcc-mean()-X"	0.280046513278689
4	"STANDING"	"tBodyAcc-mean()-X"	0.280499745892857
5	"STANDING"	"tBodyAcc-mean()-X"	0.282544390892857
6	"STANDING"	"tBodyAcc-mean()-X"	0.280346248596491
7	"STANDING"	"tBodyAcc-mean()-X"	0.282723539433962
8	"STANDING"	"tBodyAcc-mean()-X"	0.279620986111111
9	"STANDING"	"tBodyAcc-mean()-X"	0.282310057333333
10	"STANDING"	"tBodyAcc-mean()-X"	0.276650300681818
11	"STANDING"	"tBodyAcc-mean()-X"	0.277715562765957
12	"STANDING"	"tBodyAcc-mean()-X"	0.277405834918033
13	"STANDING"	"tBodyAcc-mean()-X"	0.277758431052632
14	"STANDING"	"tBodyAcc-mean()-X"	0.280545613833333
15	"STANDING"	"tBodyAcc-mean()-X"	0.278915803962264
16	"STANDING"	"tBodyAcc-mean()-X"	0.283497402948718
17	"STANDING"	"tBodyAcc-mean()-X"	0.277942503333333
